GUID,Welt (codiert),Welt (uncodiert),Europa Smaragd,Europa (codiert),Europa (uncodiert),Schweiz (codiert),Schweiz (uncodiert),Schweiz Kriterien,Bemerkungen
9B3CFB31-E6B1-4203-A546-D4303D165AEA,,,,,,LC,nicht gefährdet,,
9B63A91C-80FE-445B-A07F-A29685D209E3,,,,,,LC,nicht gefährdet,,
9BB2FEF6-45F3-401A-BDB3-B3B1D630EF5C,,,,,,DD,ungenügende Datengrundlage,,Taxonomie unklar
9BC7D15B-7A3D-4C5E-8995-5DBF787615A7,,,,,,LC,nicht gefährdet,,im östlichen Mittelland und Jura gefährdet
9C061037-6B37-4CDA-884F-5A7B7F275B1A,,,,,,LC,nicht gefährdet,,
9C24B5EC-2A81-4E3B-AC99-6563B063C705,,,,R,rare,VU,verletzlich,D2,
9CA7C6BE-8E08-4BCD-8251-C0CA80C93FF3,,,,,,LC,nicht gefährdet,,
9D229FDD-B1DA-4EFB-ABB4-611214ADBC15,,,,,,NE,nicht evaluiert,,
9DE9BD17-ED80-4F8C-86B1-72B028E45B33,,,,,,LC,nicht gefährdet,,
9E039982-4D06-4D66-8B96-D03A411A434F,,,,,,VU,verletzlich,D2,
9E4D4076-9FA4-4C93-95D5-A9F5ECD23000,,,,R,rare,VU,verletzlich,D2,"möglicherweise ausgestorben, letzter Fund 1890"
9E5668A6-FEBE-4A1A-8B99-FCCA4624320D,,,,,,LC,nicht gefährdet,,
9F1BABE6-97A5-43B9-BCDC-F7078FF29964,,,,,,VU,verletzlich,D2,
9F2AA59D-AAF8-4391-AAEB-D2AA109B5E59,,,,,,VU,verletzlich,D2,abhängig vom Schutz der Trockenstandorte
9F7B0573-1C4A-415B-94A4-9C28D1C1CB42,,,,,,LC,nicht gefährdet,,
9F7B2A1C-14D2-4C86-8D8F-82C9684246DC,,,,,,VU,verletzlich,D2,
9FB24F17-667D-47F2-A5B0-C90F4B4A0F6F,,,,,,DD,ungenügende Datengrundlage,,Vorkommen in der Schweiz unsicher
A09B4827-8A0D-426B-A5E5-640E1FEBC1A7,,,,,,LC,nicht gefährdet,,
A09CA732-0778-4168-B1C8-71132325F36F,,,,,,LC,nicht gefährdet,,
A0C335DA-0953-4151-9B2F-0EF3A0FEDE7F,,,,,,RE,in der Schweiz ausgestorben,,"einziger Fund 1885, Nachsuche erfolglos"
A0C64A0D-4C12-4816-A257-2692E213A35E,,,,,,EN,stark gefährdet,A2b; B1ab(iv)+2ab(iv),
A0D6E6C7-C3E5-44E1-9B8F-C3E8BF67D7F3,,,,,,NT,potentiell gefährdet,D2,"abhängig vom Moorschutz, im Mittelland und Jura stark gefährdet"
A13BFD1F-602A-4CB7-B059-B909D0BB00F3,,,,,,NT,potentiell gefährdet,D2,
A214AE34-80B7-44F5-A0A1-7961FCEC2E62,,,,K,insufficiently known,VU,verletzlich,D2,
A222578F-1487-4C68-A955-0C252F12FDE0,,,,,,LC,nicht gefährdet,,
A29E27BF-0FCF-4838-B980-A96C8A15704E,,,,,,VU,verletzlich,D2,
A2A00465-67F3-4A5E-963F-3AF549DF3B0D,,,,,,LC,nicht gefährdet,,
A2BF555F-CDC0-4F98-A26A-F966676474CD,,,,,,VU,verletzlich,D2,kommt nur in der Südschweiz vor
A2BFBBFF-40CC-4E00-BAD5-25DD23AB5068,,,,,,LC,nicht gefährdet,,
A2D46A5D-6E88-4807-911A-883FD411E094,,,,,,NE,nicht evaluiert,,
A3289ADA-A0E3-4122-89F4-58986F80C8FC,,,,,,NT,potentiell gefährdet,D2,
A32A1DB2-D2DC-44AE-8A07-AB2DAE69F744,,,,,,VU,verletzlich,D2,
A360E3F4-B159-4C71-ABCD-0682B613154B,,,,,,LC,nicht gefährdet,,Unterarten möglicherweise gefährdet
A3900814-4CED-485D-8870-EAFF1BEDAC24,,,,,,NE,nicht evaluiert,,
A3C4E316-11FA-4576-BD38-FF8EC93A1436,,,,,,LC,nicht gefährdet,,
A3D22C27-319F-43DB-AFAE-71CC9D8C263B,,,,,,LC,nicht gefährdet,,
A43AEFDF-568A-466D-BDE5-00A6FFDA09D2,,,,,,DD,ungenügende Datengrundlage,,nach neueren Erkenntnissen ein Hybrid zw. P. platyphylla und P. cordaeana
A4640307-E328-4525-93B5-363C1517AF4D,,,,,,VU,verletzlich,D2,
A46D61AF-A479-4575-8463-FE2F89D05D45,,,,,,VU,verletzlich,D2,
A4B19438-8C6E-4625-B777-3EAC9B422BB1,,,,,,VU,verletzlich,D2,
A4CE6FA0-F029-4634-A6FA-F0FBEA0302BE,,,,,,LC,nicht gefährdet,,
A50CFE4D-11C2-46F7-A453-146A495066D3,,,,K,insufficiently known,CR,vom Aussterben bedroht,A2b; B1ab(iv)+2ab(iv),"möglicherweise ausgestorben, letzter Fund erste Hälfte 20.Jh., Suche einzelner Populationen erfolglos"
A547105C-972F-47D3-B019-995BDD7175A1,,,,R,rare,VU,verletzlich,D2,
A54DB9AB-7977-4FA6-B49C-43AC138430D3,,,,,,VU,verletzlich,D2,
A568B28F-F6A3-4129-8851-58C23D112D24,,,,,,LC,nicht gefährdet,,
A57FF660-52ED-43CA-A2D3-4D21A7E06608,,,,,,LC,nicht gefährdet,,
A616DA58-56F5-45D4-8B54-B6CD6A63102A,,,,,,VU,verletzlich,D2,abhängig vom Schutz der Trockenstandorte
A6235F7E-E469-42BB-9700-9D71AB9EA1A5,,,,,,VU,verletzlich,D2,
A62F0924-D02A-47F6-B0C2-6764A593BEFF,,,,,,EN,stark gefährdet,A2b,
A65B3FB0-EABA-4964-956C-AD62AA9C409A,,,,,,VU,verletzlich,D2,
A68D577D-C6CD-4304-B9AB-F7A4EABCB6E1,,,,,,CR,vom Aussterben bedroht,B1ab(iv)+2ab(iv),abhängig vom Gewässerschutz
A6A49B40-22E0-4AD2-85CD-8D0125976EC5,,,,,,LC,nicht gefährdet,,
A6CD58EC-C47B-4937-B621-2CB6076368F7,,,,,,NT,potentiell gefährdet,D2,"erst 1981 beschrieben, kein Vergleich mit früher möglich"
A6D88CCB-ACC3-4C88-BD64-E2AF9C146BAC,,,,,,VU,verletzlich,D2,nur aus dem Tessin bekannt
A6D9761B-52F2-485E-A593-7DEA949F2E11,,,,,,VU,verletzlich,D2,abhängig vom Gewässerschutz
A6E3A5D2-B892-44B0-BC64-962C2BB3E17D,,,,,,VU,verletzlich,D2,
A703EFD6-FFF0-4071-AB28-2CEB80A6A0AE,,,,,,EN,stark gefährdet,B1ab(iv)+2ab(iv),abhängig vom Moorschutz
A7065F2A-E7C2-4F06-99FC-269B4920FF2E,,,,,,NE,nicht evaluiert,,
A70BA51C-E17E-47C5-8A87-87F58EB3CCF7,,,,,,NE,nicht evaluiert,,
A75128B4-E41D-4777-AD6B-A920EF95F64F,,,,,,DD,ungenügende Datengrundlage,,Taxonomie unklar
A8187D28-8BBD-414E-B15B-99184102DF6D,,,,,,LC,nicht gefährdet,,abhängig vom Gewässerschutz
A8BDD940-5EC5-41D3-AEE5-532F68527607,,,,,,CR,vom Aussterben bedroht,B2ab(iv),
A8FEAC07-0FFF-4BB2-91FB-50DDCCF61583,,,,,,EN,stark gefährdet,A2b,
A9475560-BC94-4F2C-8F2A-4080FD769EF2,,,,,,CR,vom Aussterben bedroht,B1ab(iv)+2ab(iv),
A999F115-9A5E-42AA-B4F2-ED271A8F1B19,,,,,,LC,nicht gefährdet,,
A9C1BB71-43EA-4FD0-94E5-B61FAD01597D,,,,,,VU,verletzlich,D2,
AA0CAA30-7AA1-40F4-BE78-E4D4BAEFBCAD,,,,,,LC,nicht gefährdet,,
AA1CE6A7-38E8-43D5-850A-AF3749469B8A,,,,,,LC,nicht gefährdet,,
AA23EC92-68FC-4DA0-937F-C069C1062909,,,,,,LC,nicht gefährdet,,
