guid,Schweiz (codiert),Schweiz (uncodiert),Bemerkungen,Remarques,Osservazioni
9E99B1EA-1122-4BA4-9A6F-3C4AD289A3CF,1,vom Aussterben bedroht,"Biotop unbekannt, kalkreich, weite Verbreitung in der Schweiz","biotope inconnu «calcaire», large répartition en Suisse","biotopo sconosciuto ""calcare"", ampia distribuzione in Svizzera"
59243734-9233-4EEC-AB63-1910007B916F,1,vom Aussterben bedroht,"sandige Flussufer, isolierte Restpopulationen","bords sableux de fleuves, populations isolées, reliques","rive sabbiose di fiumi, popolazioni isolate relittuali"
C5DB7774-9572-421F-8C38-A2762CA013D4,2,stark gefährdet,"Laubwälder mit Bächen, weite Verbreitung in der Schweiz","forêt de feuillus avec ruisseau, large répartition en Suisse","boschi di latifoglie con ruscello, ampia distribuzione in Svizzera"
C86F6A40-3C4E-4AB2-B0A0-948142FEFF96,4,potentiell gefährdet,"wärmeliebende Wälder, bewaldete Moore, süden Schweiz von Art am Rande ihres Verbreitungsgebietes bewohnt","forêt thermophile, marais boisé, S de la Suisse occupée par l'espèce en marge de son aire de distribution","boschi termofili, paludi boscate, S della Svizzera occupate da specie al margine del loro areale di distribuzione"
72D725F8-8B5C-46B1-9C8D-B16A4C41C4FE,3,gefährdet,"Bäche mit kalkhaltigem Schlick, weite Verbreitung in der Schweiz","ruisseau avec limon calcaire, large répartition en Suisse","ruscelli con limo calcareo, ampia distribuzione in Svizzera"
A2FA1B3D-DD99-4D29-927A-E4266661A07A,1,vom Aussterben bedroht,"wärmeliebende Wälder, isolierte Restpopulationen","forêt thermophile, populations isolées, reliques ","boschi termofili, popolazioni isolate relittuali"
87994BFA-3200-49B9-9CA7-38E283AD1884,3,gefährdet,"moosreiche subalpine Wälder, weite Verbreitung in der Schweiz","forêt moussue subalpine, large répartition en Suisse","boschi subalpini con muschio, ampia distribuzione in Svizzera"
64CE8523-E967-4AB7-966D-7310F65D82A1,4,potentiell gefährdet,"Laub- oder Laubmischwälder, nördlichen Schweiz von Art am Rande ihres Verbreitungsgebietes bewohnt","forêt de feuillus ou mixte,  N de la Suisse occupée par l'espèce en marge de son aire de distribution","boschi di latifoglie o misti, N della Svizzera occupate da specie al margine del loro areale di distribuzione"
6B739B2B-5400-4EC0-9933-DC11106F555D,1,vom Aussterben bedroht,"Teich- oder Flussufer, weite Verbreitung in der Schweiz","bord d'étang ou de rivière, large répartition en Suisse","bordi di stagni o di corsi d'acqua, ampia distribuzione in Svizzera"
F8B39BD2-0AD6-446D-8545-F3B7E713AFE1,4,potentiell gefährdet,"wärmeliebende Wälder, süden Schweiz von Art am Rande ihres Verbreitungsgebietes bewohnt","forêt thermophile, S de la Suisse occupée par l'espèce en marge de son aire de distribution","boschi termofili, S della Svizzera occupate da specie al margine del loro areale di distribuzione"
86CD5D4C-4D4E-4A9A-AF9E-9E4C1E38E182,3,gefährdet,"Hangmoore, Torfstiche, weite Verbreitung in der Schweiz","marais de pente, tourbières, large répartition en Suisse","paludi in pendio, torbiere, ampia distribuzione in Svizzera"
30133936-EFAB-4F89-8C6E-6EC359588856,0,ausgestorben oder verschollen,"Steppen, isolierte Restpopulationen","steppe, populations isolées, reliques","steppe, popolazioni isolate relittuali"
5AC779D0-673E-4BA7-BB0C-83ADAC5A6DC9,4,potentiell gefährdet,"wärmeliebende Wälder, süden Schweiz von Art am Rande ihres Verbreitungsgebietes bewohnt","forêt thermophile, S de la Suisse occupée par l'espèce en marge de son aire de distribution","boschi termofili, S della Svizzera occupate da specie al margine del loro areale di distribuzione"
0BE2EF84-5BA5-4423-9791-4B56818F69AA,2,stark gefährdet,"Ränder von Torfstichen, weite Verbreitung in der Schweiz","bordure de tourbière, large répartition en Suisse","bordi di torbiera, ampia distribuzione in Svizzera"
4C1770F8-D72B-4A7B-9771-77CD7B2C0272,3,gefährdet,"Schutt, alpine Wiesen auf kristallinem Untergrund, weite Verbreitung in der Schweiz","éboulis, prairies alpines sur cristallin, large répartition en Suisse","sassaie, praterie alpine su zoccolo cristallino, ampia distribuzione in Svizzera"
4FB7F2C2-492D-4B90-B1F3-4A46AD4D3C72,4,potentiell gefährdet,"Moore, Gräben, süden Schweiz von Art am Rande ihres Verbreitungsgebietes bewohnt","marais, fossés, S de la Suisse occupée par l'espèce en marge de son aire de distribution","paludi, fossati, S della Svizzera occupate da specie al margine del loro areale di distribuzione"
B84B09D4-F16A-4B44-A22D-C8CCB3A1596C,2,stark gefährdet,"trockenheit- und wärmeliebende Wälder, isolierte Restpopulationen","forêt xéro-thermophile, populations isolées, reliques","boschi xerotermofili, popolazioni isolate relittuali"
5C47FD45-22DC-4A6F-B215-A319C45DE03B,3,gefährdet,"Nadelwälder, weite Verbreitung in der Schweiz","forêt de résineux, large répartition en Suisse","boschi di conifere, ampia distribuzione in Svizzera"
E2D4E71B-023D-4C11-AF9D-7D049DEC2C9A,4,potentiell gefährdet,"Moore, feuchte Wiesen, süden Schweiz von Art am Rande ihres Verbreitungsgebietes bewohnt","marais, pré humide, S de la Suisse occupée par l'espèce en marge de son aire de distribution","paludi, prati umidi, S della Svizzera occupate da specie al margine del loro areale di distribuzione"
31D0F7A1-A818-411C-A2AF-997898D5858D,3,gefährdet,"feiner Kalkschutt, weite Verbreitung in der Schweiz","éboulis calcaire fin, large répartition en Suisse","pietraie calcaree fini, ampia distribuzione in Svizzera"
A5E49534-5878-4641-9873-355BC0F88BE7,3,gefährdet,"Torfstiche, weite Verbreitung in der Schweiz","tourbière, large répartition en Suisse","torbiere, ampia distribuzione in Svizzera"
A3B4A82B-09FF-4DC1-9A4C-BEEC238530E2,4,potentiell gefährdet,"Flussufer, süden Schweiz von Art am Rande ihres Verbreitungsgebietes bewohnt","bord de rivière, S de la Suisse occupée par l'espèce en marge de son aire de distribution","bordi di corsi d'acqua, S della Svizzera occupate da specie al margine del loro areale di distribuzione"
8171AC62-3140-4876-B1F8-43659CFA68F8,2,stark gefährdet,"sandige Flussufer, isolierte Restpopulationen","bords sableux de fleuves, populations isolées, reliques ","rive sabbiose di fiumi, popolazioni isolate relittuali"
F0F58402-DB9F-4B49-8E3A-835986763318,3,gefährdet,"Wasserläufe, weite Verbreitung in der Schweiz","cours d'eau, large répartition en Suisse","corsi d'acqua, ampia distribuzione in Svizzera"
DC59F8E3-E4A8-4CC7-8957-1904C3DE0A09,4,potentiell gefährdet,"Moore, überschwemmte Wiesen, süden Schweiz von Art am Rande ihres Verbreitungsgebietes bewohnt","marais, pré inondé, S de la Suisse occupée par l'espèce en marge de son aire de distribution","paludi, prati inondati, S della Svizzera occupate da specie al margine del loro areale di distribuzione"
4F0A8AB0-3CCD-421C-9D0D-8D451337459A,4,potentiell gefährdet,"Hangwiesen, Bäche, osten Schweiz von Art am rande ihres Verbreitungsgebiet bewohnt","prairie en pente, ruisseau, E de la Suisse occupée par l'espèce en marge de son aire de distribution","praterie in pendio, ruscelli, E della Svizzera occupate da specie al margine del loro areale di distribuzione"
799FD688-AE8A-4B21-96DC-163A9A5A5B31,4,potentiell gefährdet,"Biotop unbekannt, süden Schweiz von Art am Rande ihres Verbreitungsgebietes bewohnt","biotope inconnu, S de la Suisse occupée par l'espèce en marge de son aire de distribution","biotopo sconosciuto, S della Svizzera occupate da specie al margine del loro areale di distribuzione"
168CAA07-E3F4-4D54-8B74-0E85D196A0D4,1,vom Aussterben bedroht,"wärmeliebende Föhrenwälder, weite Verbreitung in der Schweiz","forêt thermophile de Pinus, large répartition en Suisse","boschi termofili di Pinus, ampia distribuzione in Svizzera"
4DE9E29B-DCE3-4360-AE33-0D5B26CCA454,3,gefährdet,"feuchte Schluchten auf kalkhaltigem Untergrund, weite Verbreitung in der Schweiz","ravins humides sur calcaire, large répartition en Suisse","forre umide su calcare, ampia distribuzione in Svizzera"
2CC442B8-BA93-494E-AEEC-9E063F458598,2,stark gefährdet,"Wasserläufe, weite Verbreitung in der Schweiz","cours d' eau, large répartition en Suisse","corsi d'acqua, ampia distribuzione in Svizzera"
44BA8A3C-80A3-407F-85ED-C3E4A9881D71,1,vom Aussterben bedroht,"obere alpine Stufe, endemische Art","étage alpin supérieur, espèce endémique","piano alpino superiore, specie endemiche                           "
9A2E2F14-D345-4952-B204-589CB135347E,3,gefährdet,"Laubwälder, weite Verbreitung in der Schweiz","forêt de feuillus, large répartition en Suisse","boschi di latifoglie, ampia distribuzione in Svizzera"
89F3CD39-46F3-4142-85B4-6D6A99B2F34D,1,vom Aussterben bedroht,"Laubwälder, weite Verbreitung in der Schweiz","forêt de feuillus, large répartition en Suisse","boschi di latifoglie, ampia distribuzione in Svizzera"
8D7046CB-8002-437E-8897-3DFD76314179,1,vom Aussterben bedroht,"zeitweise überschwemmte Wiesen, isolierte Restpopulationen","prés temporairement inondés, populations isolées, reliques","prati temporaneamente inondati, popolazioni isolate relittuali"
0C4EF31C-7B2A-488D-841F-557C10CABF83,2,stark gefährdet,"obere alpine Stufe auf kalkhaltigem Untergrund, weite Verbreitung in der Schweiz","étage alpin superieur sur calcaire, large répartition en Suisse","piano alpino superiore su calcare, ampia distribuzione in Svizzera"
FAF82645-FF00-4A31-A83C-353985CB290A,1,vom Aussterben bedroht,"Bachufer, isolierte Restpopulationen","bord de rivière, populations isolées, reliques   ","bordi di corsi d'acqua, popolazioni isolate relittuali"
F6A890CB-03C5-4ABA-AF34-89C95CFB24E2,4,potentiell gefährdet,"bewaldete Torfstiche, moosreiche Wälder, westen Schweiz von Art am rande ihres Verbreitungsgebiet bewohnt","tourbière boisée, forêt moussue, W de la Suisse occupée par l'espèce en marge de son aire de distribution","torbiere boscate, boschi con muschio, O della Svizzera occupate da specie al margine del loro areale di distribuzione"
32493218-1448-49DA-BE7F-DBB4FB86E9B8,3,gefährdet,"Laub- oder Laubmischwälder, isolierte Restpopulationen","forêt de feuillus ou mixte, populations isolées, reliques","boschi di latifoglie o misti, popolazioni isolate relittuali"
26EB02EF-4E40-4CAE-9079-BD140C391A02,1,vom Aussterben bedroht,"wärmebegünstigte Hecken, Trockenrasen, isolierte Restpopulationen","haie thermophile, xérobromion, populations isolées, reliques","siepi termofila, xerobromion, popolazioni isolate relittuali"
1BE3C708-542A-448F-A380-9EBDA1E03F60,1,vom Aussterben bedroht,"trockenwarmer Föhrenwald, endemische Art","forêt de P. sylvestris xérothermique, espèce endémique","boschi xerotermici di P. sylvestris, specie endemiche"
556F8381-540D-4B16-88B6-935CBE9403B8,4,potentiell gefährdet,"Bachufer, Gräben, westen Schweiz von Art am rande ihres Verbreitungsgebiet bewohnt","bord de rivière, fossés, W de la Suisse occupée par l'espèce en marge de son aire de distribution","bordi di corsi d'acqua, fossati, O della Svizzera occupate da specie al margine del loro areale di distribuzione"
63A934ED-92CB-4B23-8DB3-164748C73C03,0,ausgestorben oder verschollen,"Biotop unbekannt, isolierte Restpopulationen","biotope inconnu, populations isolées, reliques","biotopo sconosciuto, popolazioni isolate relittuali"
C4BD0A51-8B77-4E3A-889E-316AE7DEC01D,1,vom Aussterben bedroht,"Steppen, isolierte Restpopulationen","steppe, populations isolées, reliques","steppe, popolazioni isolate relittuali"
6F464487-081C-4754-981D-2DCFDCF490A6,1,vom Aussterben bedroht,"Endemit, Sottoceneri",endémique au Sottoceneri,"endemita, Sottoceneri"
F2BB9F31-B25D-4538-9A94-83486DFE8BBB,1,vom Aussterben bedroht,"Moore, Feuchtgebiete","marais, lieux humides","torbiere, luoghi umidi"
F737A7B0-F5AA-4962-A330-D781277EA8F2,4,potentiell gefährdet,mooriges Gelände,terrains marécageux,aree torbose
0FDD1C63-2CCE-4427-9994-B0A2E1156CAD,0,ausgestorben oder verschollen,"torfige Wiesen, GE","prairies tourbeuses, GE","prati torbosi, GE"
9CEBFFAF-E71A-4155-8536-9AFD31412DE6,4,potentiell gefährdet,"xerotherm , sandig-lehmig","xérothermophile, sable-argile","luoghi xerotermici, sabbiosi-argillosi"
BC70CF64-788D-4318-99C8-7CA7A311BFB4,2,stark gefährdet,Sumpfart,espèce de marécage,specie di palude
F303C3A7-9A2D-4950-8ADC-CD58B77374EE,2,stark gefährdet,Sumpfart,espèce de marécage,specie di palude
DFCB9576-549C-41F8-A03A-019B9B45B331,1,vom Aussterben bedroht,letzter Fund 1950,dernière observation en 1950,ultimo ritrovamento 1950
442AD3B0-F592-4CA3-AAE5-CF6F63211291,1,vom Aussterben bedroht,"tyrphobiont, intakte Hochmoore",vit dans les hauts-marais intacts,"tirfobionte, torbiere alte intatte"
5D018593-383E-4FFA-9B85-0F9CF3FD3F38,2,stark gefährdet,Torfboden,sol tourbeux,terreni con torba
F943443C-068E-4C42-BE5F-B260E3C447C8,0,ausgestorben oder verschollen,früher sporadisch Lichtfang,autrefois captures sporadiques au piège lumineux,un tempo sporadiche catture con la luce
2D94935B-EACD-4361-A7C6-CB9CE0E6AE79,1,vom Aussterben bedroht,ein rezenter Fundort im VS,observation récente en VS,un ritrovamento recente in VS
C131F41B-7773-4F3F-8A75-40FDD678797E,4,potentiell gefährdet,wenige und kleine Vorkommen,rare et peu abondant,poche piccole popolazioni
2BBC26F4-53D6-4DBB-B233-9F408985B101,4,potentiell gefährdet,wenige und kleine Vorkommen,rare et peu abondant,poche piccole popolazioni
F83371BA-EFFE-480B-AABD-1566DDF7A5DF,3,gefährdet,Adventivart atlant. Herkunft,espèce adventice d'origine atlantique,specie avventizia di origine atlantica
DAA6C040-994E-4FB9-BD9E-2004AE53B951,4,potentiell gefährdet,wenige und kleine Vorkommen,rare et peu abondant,poche piccole popolazioni
EECA5258-7F7E-432D-AAE1-F213074BF403,1,vom Aussterben bedroht,Moorschlamm im Jura,boues marécageuses du Jura,fango di torbiera nel Giura
246E0E8B-D67B-4F24-AF33-0EDE10A6DFFE,0,ausgestorben oder verschollen,"früher Tl, mehr als 100 Jahre verschollen","autrefois TI, disparu depuis plus de 100 ans","un tempo TI, scomparso da più di 100 anni"
271E5E2F-12EB-4F6A-BAE9-693EC584A278,4,potentiell gefährdet,wenige und kleine Vorkommen,rare et peu abondant,poche piccole popolazioni
4900865E-8BE0-464F-A299-976018E96036,3,gefährdet,"Ackerunkrautfluren, Trockenrasen","mauvaises herbes près cultures, prés secs","superfici di malerbe, prati secchi"
ADBE98D9-6CCD-4639-9DCF-316F6A80B09A,0,ausgestorben oder verschollen,Bodenstreu von Birkenwäldern,sols des forêts de bouleaux,fogliame sul terreno di boschi di betulla
0E8113B8-E347-445D-A416-0A77ECFD81DF,0,ausgestorben oder verschollen,sandige Flussufer,rives sablonneuses de rivières,rive sabbiose di fiumi
DD22F69F-EDA2-413D-BE8B-57EF0F967D00,4,potentiell gefährdet,wenige und kleine Vorkommen,rare et peu abondant,poche piccole popolazioni
A045E2E3-1AFD-4833-B2F4-D89CE675EEB9,1,vom Aussterben bedroht,"bewachsener Sand, Flugsand","sable recouvert de végétation, sable mouvant","sabbia con vegetazione, sabbie eoliche"
D4B11CCA-441B-4413-9E79-14C1B947CB85,4,potentiell gefährdet,"xerothermophil, Wärmeinseln","xérothermophile, coins chauds","xerotermofilo, ""isole"" calde"
62C6D0ED-237D-4AFF-9028-FA009D5455A7,2,stark gefährdet,"xerothermophil, Kies, Sand","xérothermophile, gravier, sable","xerotermofilo, ghiaia e sabbia"
DA9B4DF0-08A9-49FB-8C23-9A777632A8D3,4,potentiell gefährdet,Endemit nivaler Stufe,endémique à l'étage nival,endemita della fascia nivale
C044140F-AA88-4609-A7C6-3A2077E6E444,4,potentiell gefährdet,wenige und kleine Vorkommen,rare et peu abondant,poche piccole popolazioni
BF70590D-B074-47E4-894D-5941040115B9,4,potentiell gefährdet,"ein Fund 1982, Wallis","1 observation en 1982, en VS","un ritrovamento nel 1982, VS"
EEECD081-BA7D-4BF2-A065-4101E85D5758,0,ausgestorben oder verschollen,früher Davosertal,"autrefois, vallée de Davos",un tempo valle di Davos
85DAEC9D-DFE9-4DA2-B8BF-FEDD4AF6F1BA,2,stark gefährdet,"Sand, xerophil","sable, xérophile","sabbia, xerofilo"
EDE4E133-ADD9-410A-86D0-3F340F1DC4F3,1,vom Aussterben bedroht,Sandgebiete,régions sablonneuses,zone sabbiose
B7C85A12-C8FE-4FF2-A607-9A4DB0152472,3,gefährdet,bewachsene Sandufer,rives sablonneuses avec végétation,rive sabbiose con vegetazione
8D17D5F2-4209-49D3-9883-42D05D86659D,1,vom Aussterben bedroht,"früher GE, rezent ein Fund BS","autrefois GE, récemment 1 obs. à BS","un tempo GE, recentemente un ritrovamento BS"
A6D76872-99D3-450F-8C32-DED0EAEDC16D,4,potentiell gefährdet,wenige und kleine Vorkommen,rare et peu abondant,poche piccole popolazioni
098B4F8F-5D3D-4C30-9DE2-B2288ADA80C5,0,ausgestorben oder verschollen,"Sumpf, Schilf, GE","marais, roseaux, GE","paludi, canneti, GE"
82DBEC66-733E-43C4-A206-56552C45F602,4,potentiell gefährdet,wenige und kleine Vorkommen,rare et peu abondant,poche piccole popolazioni
BD3E16A6-F3C9-4242-8737-2A8DADA6567B,4,potentiell gefährdet,wenige und kleine Vorkommen,rare et peu abondant,poche piccole popolazioni
3E93FDA2-2E23-42D9-9E93-AFF88AD0DFE3,0,ausgestorben oder verschollen,früher TI,autrefois TI,un tempo TI
52C1D35B-A8BA-4F20-977A-CF0969FD756F,3,gefährdet,Schilfgebiete,roselières,canneti
F2CCB1B9-B8D1-4F25-ABD1-93935F5441E2,2,stark gefährdet,Schilfsäume stehender Gewässer,bordures roseaux d'eaux dormantes,bordi di specchi d'acqua con canneti
E31C9975-8E43-4663-B496-01DE397E1288,3,gefährdet,anmoorige Böden,sols marécageux,terreni con torba
AEA98DE9-FE62-4766-B097-48A13D733150,4,potentiell gefährdet,wenige und kleine Vorkommen,rare et peu abondant,poche piccole popolazioni
69D9BB2D-4045-4CB7-A7D8-1FD080927488,4,potentiell gefährdet,wenige und kleine Vorkommen,rare et peu abondant,poche piccole popolazioni
